id,En_symbol,part of,math,math formula,Tex formula,unit of measure,vars,Ro description,En description,En wiki
,,o.a,n_2,,,,,nr. întreg care caracterizează linia spectrală în seria respectivă,entire number wich characterizes the spectral line in the respective series,https://en.wikipedia.org/wiki/Hydrogen_spectral_series
,,o.a,m_0,,,,,masa electronului,mass of the electron,https://en.wikipedia.org/wiki/Mass_of_the_electron
,,o.a,e,,,,,sarcina electrică a electronului,the electric charge of the electron,https://en.wikipedia.org/wiki/Electron
,,o.a,c,,,,,viteza luminii în vid,the velocity of light in vacuum,https://en.wikipedia.org/wiki/Vacuum
,,o.a,h,,,,,constanta lui Planck,Planck's constant,https://en.wikipedia.org/wiki/Planck_constant
,,o.a,epsilon_0,,,,,permitivitatea electrică a vidului,electrical permittivity of vacuum,https://en.wikipedia.org/wiki/Vacuum_permittivity
,,o.a,,,,,,"seria Lyman, în ultraviolet","Lyman series, in ultraviolet",https://en.wikipedia.org/wiki/Lyman_series
,,o.a,,,,,,"seria Balmer, în vizibil","Balmer series, in visible",https://en.wikipedia.org/wiki/Balmer_series
,,o.a,,,,,,"seria Paschen, în infraroşu apropiat","Paschen series, in close infrared",https://en.wikipedia.org/wiki/Hydrogen_spectral_series#Paschen_series_.28Bohr_series.29_.28n.E2.80.B2_.3D_3.29
,,o.a,,,,,,"seria Brackett, în infraroşu îndepărtat","Brackett series, in far infrared",https://en.wikipedia.org/wiki/Hydrogen_spectral_series#Brackett_series_.28n.E2.80.B2_.3D_4.29
,,o.a,,,,,,"seria Pfundt, în infraroşu îndepărtat","Pfundt series, in far infrared",https://en.wikipedia.org/wiki/Hydrogen_spectral_series
,,o.a,,,,,,"seria Humphrey, în infraroşu îndepărtat","Humphrey series , in far infrared",
,,m,vec S,vec a + vec b,\vec a + \vec b,1,,"Suma (adunarea, compunerea vectorilor)","sum (assembly, vectors composition)",https://en.wikipedia.org/wiki/Vector_(mathematics_and_physics)
,,m,S,sqrt(a^2 + b^2 + 2*a*b*cos(alpha)),\sqrt(a^2 + b^2 + 2*a*b*\cos(\alpha)),,,"Suma (adunarea, compunerea vectorilor)","sum (assembly, vectors composition)",https://en.wikipedia.org/wiki/Vector_(mathematics_and_physics)
,,m,vec S,,,,,vectorul sumă,sum vector,https://en.wikipedia.org/wiki/Vector_(mathematics_and_physics)
,,m,"vec a, vec b",,,,,vectori,vectors,https://en.wikipedia.org/wiki/Vector_(mathematics_and_physics)
,,m,cos(alpha),,,,,unghiul dintre direcţiile vectorilor a si b,the angle between vectors a and b direction,https://en.wikipedia.org/wiki/Angle
,,e,R_s,,,,,Şuntul ampermetrului,the shunt of the ammeter ,https://en.wikipedia.org/wiki/Shunt_(electrical)
,,e,R_s,R_A / (n  - 1),R_A / (n  - 1),Omega,,rezistenţa şuntului,shunt resistance,https://en.wikipedia.org/wiki/Shunt_(electrical)
,,e,R_A,,,,,rezistenţa ampermetrului,ammeter resistance,https://en.wikipedia.org/wiki/Ammeter
,,e,I,n * I_A,n * I_A,A,,intensitatea curentului care trebuie măsurată,the intensity of the current to be measured,https://en.wikipedia.org/wiki/Intensity_(physics)
,,e,I_A,,,,,intensitatea maximă pe care o poate măsura ampermetrul,the maximum intensity wich can measure the ammeter,https://en.wikipedia.org/wiki/Intensity_(physics)
,,e,n,,,,,număr,number,
,,t,Delta T,Delta t,\Delta t,K,,Temperatura,temperature,https://en.wikipedia.org/wiki/Temperature
,,t,T,t + 273.15,t + 273.15,K,,temperatura termodinamică (absolută) măsurată în grade Kelvin,thermodynamic temperature (absolute) measured in Kelvin degrees,https://en.wikipedia.org/wiki/Thermodynamic_temperature
,,t,t,,,,,temperatura măsurată în grade Celsius,temperature measured in Celsius degrees,https://en.wikipedia.org/wiki/Temperature
,,t,"Delta T, Delta t",,,,,variaţii de temperatură exprimate în grade Kelvin şi Celsius,temperature variation convey in Kelvin and Celsius degrees,https://en.wikipedia.org/wiki/Temperature
,,e,U,V_M - V_N,V_M - V_N,,,Tensiune electrică (diferenţă de potenţial),voltage (potential differenece),https://en.wikipedia.org/wiki/Voltage
,,e,U,L_{M -&gt; N}/q,L_{M -&gt; N}/q,,,Tensiune electrică (diferenţă de potenţial),voltage (potential differenece),https://en.wikipedia.org/wiki/Voltage
,,e,U,Q/(4*pi*epsilon) *(1/r_M - 1/r_N),Q/(4*\pi*\epsilon) *(1/r_M - 1/r_N),,,Tensiune electrică (diferenţă de potenţial),voltage (potential differenece),https://en.wikipedia.org/wiki/Voltage
,,e,"V_M, V_N",,,,,potenţialele câmpului electric în punctele M şi N,the potential of the electric field at the points M and N,https://en.wikipedia.org/wiki/Electric_field
,,e,L_{M -&gt; N},,,,,lucrul mecanic al forţelor câmpului electric,the mechanical work of electric field forces,https://en.wikipedia.org/wiki/Work_(physics)
,,e,q,,,,,sarcina electrică a corpului care se deplasează în câmpul electric între punctele M şi N,electrical charge of the body moving in the electric field between the points M and N,https://en.wikipedia.org/wiki/Electric_charge
,,e,Q,,,,,sarcina care generează câmpul electric,task generating electric field,https://en.wikipedia.org/wiki/Electric_field
,,e,"r_M, r_N",,,,,distanţa de la sarcina care generează câmpul electric la punctele M şi N,distance from the task generating the electric field at points M and N,https://en.wikipedia.org/wiki/Distance
,,e,epsilon,,,,,permitivitatea mediului,environment permittivity,https://en.wikipedia.org/wiki/Permittivity
,,e,e,E_m * sin(omega*t),E_m * \sin(\omega*t),V,,tensiunea electromotoare alternativă,alternative electromotor tension,https://en.wikipedia.org/wiki/Tension_(physics)
,,e,e,,,,,tensiunea instantanee,instantaneous tension,https://en.wikipedia.org/wiki/Tension_(physics)
,,e,E_m,,,,,tensiunea maximă,maximum tension,https://en.wikipedia.org/wiki/Tension_(physics)
,,e,omega,,,,,pulsaţie,pulsation,
,,e,t,,,,,momentul de timp,time,https://en.wikipedia.org/wiki/Time
,,e,e,-L * (Delta I) / (Delta t),-L * (\Delta I) / (\Delta t),V,,tensiune autoindusă,self-induced tension,https://en.wikipedia.org/wiki/Tension_(physics)
,,e,L ,,,,,inductanţa bobinei,coil's inductance,https://en.wikipedia.org/wiki/Inductance
,,e,Delta t,,,,,intervalul de timp,time interval,https://en.wikipedia.org/wiki/Tension_(physics)
,,e,Delta I,,,,,variaţia intensităţii curentului electric,electric current intensity variation,https://en.wikipedia.org/wiki/Intensity_(physics)
,,e,U_s,E_{cmax} / e,E_{cmax} / e,V,,tensiune de stopare,stopping tension,https://en.wikipedia.org/wiki/Tension_(physics)
,,e,E_{cmax},,,,,energia cinetică maximă a fotoelectronilor,maximum kinetic energy of photoelectrons,https://en.wikipedia.org/wiki/Kinetic_energy
,,e,e,,,,,sarcina electrică a electronului,the electric charge of the electron,https://en.wikipedia.org/wiki/Electron
,,e,U_ef,U_m / sqrt(2),U_m / \sqrt(2),V,,tensiune efectivă,effective voltage,https://en.wikipedia.org/wiki/Voltage
,,e,U_m,,,,,tensiune maximă alternativă,alternative maximum voltage alternative,https://en.wikipedia.org/wiki/Voltage
,,e,E,U + u,U + u,V,,tensiune electromotoare,electromotive tension,https://en.wikipedia.org/wiki/Tension_(physics)
,,e,U,,,,,tensiune la borne (căderea de tensiune pe circuitul exterior),terminal tension (fall tension on external circuit),https://en.wikipedia.org/wiki/Tension_(physics)
,,e,u,,,,,căderea de tensiune pe sursă (pe circuitul interior),fall tension on source (on the internal circuit),https://en.wikipedia.org/wiki/Tension_(physics)
,,e,e,(Delta phi) / Delta t,(\Delta phi) / \Delta t,V,,tensiune electromotoare indusă (legea inducţiei electromagnetice),electromotive force induced (law of electromagnetic induction),https://en.wikipedia.org/wiki/Electromagnetic_induction
,,e,e,,,,,tensiunea indusă,the induced tension,https://en.wikipedia.org/wiki/Tension_(physics)
,,e,Delta phi,,,,,variaţia fluxului magnetic,magnetic flux variation,https://en.wikipedia.org/wiki/Magnetic_flux
,,e,Delta t,,,,,variaţia timpului,time variation,https://en.wikipedia.org/wiki/Time
,,e,U,E * d,E * d,V,,tensiunea în câmp electric uniform (condensator plan),tension in uniform electric field (plan capacitor),https://en.wikipedia.org/wiki/Tension_(physics)
,,e,U,,,,,tensiunea între două puncte ale câmpului electric uniform,tension between two points of the uniform electric field,https://en.wikipedia.org/wiki/Tension_(physics)
,,e,E,,,,,intensitatea câmpului electric uniform,uniform electric field strength,https://en.wikipedia.org/wiki/Electric_field
,,e,d,,,,,distanţa dintre armăturile condensatorului,the distance between the capacitor plates,https://en.wikipedia.org/wiki/Capacitor
,,m,Delta E_C,L,L,,,Teorema variaţiei energetice cinetice a punctului material,the theorem of variation of the kinetic energy of the material point,https://en.wikipedia.org/wiki/Kinetic_energy
,,m,Delta E_C,,,,,variaţia energiei cinetice,kinetic energy variation,https://en.wikipedia.org/wiki/Kinetic_energy
,,m,L,,,,,lucrul mecanic al forţei rezultante care acţionează asupra punctului material,mechanical work of the resultant force wich act to the material point,https://en.wikipedia.org/wiki/Work_(physics)
,,m,Delta vec p,vec F_m * Delta t,\vec F_m * \Delta t,,,Teorema variaţiei impulsului mecanic al punctului material,the theorem of mechanical impulse variation of the material point,https://en.wikipedia.org/wiki/Impulse_(physics)
,,m,Delta vec p,,,,,variaţia impulsului,impulse variation,https://en.wikipedia.org/wiki/Impulse_(physics)
,,m,,,,,,impulsul forţei,force impulse,https://en.wikipedia.org/wiki/Impulse_(physics)
,,m,vec F_m,,,,,forţa medie aplicată,medium force applied,https://en.wikipedia.org/wiki/Force
,,m,Delta t,,,,,intervalul de timp,time interval,https://en.wikipedia.org/wiki/Time
,,m,Delta vec P,vec F * Delta t,\vec F * \Delta t,,,Teorema variaţiei impulsului pentru un sistem de două puncte materiale,the theorem of the impulse variation for a system of two material points,https://en.wikipedia.org/wiki/Impulse_(physics)
,,m,Delta vec P,,,,,variaţia impulsului,impulse variation,https://en.wikipedia.org/wiki/Impulse_(physics)
,,m,vec p,vec p_1 + vec p_2,\vec p_1 + \vec p_2,,,,,
,,m,vec F,vec F_1 + vec F_2,\vec F_1 + \vec F_2,,,"rezultanta forţelor externe (constante sau medii) F1, F2","the result of the external forces (constant or medium) F1, F2",https://en.wikipedia.org/wiki/Force
,,m,vec F_int,vec F_{12} + vec F_{21},\vec F_{12} + \vec F_{21},,,"rezultanta forţelor interne F12, F21","the result of the internal forces F1, F2",https://en.wikipedia.org/wiki/Force
,,m,vec F_int,0,0,,,"rezultanta forţelor interne F12, F21","the result of the internal forces F1, F2",https://en.wikipedia.org/wiki/Force
,,m,Delta vec L,vec M * Delta t,\vec M * \Delta t,,,Teorema variaţiei momentului cinetic pentru un punct material,the theorem of the kinetic moment for a material point,
,,m,Delta vec L,,,,,variaţia momentului cinetic,kinetic moment's variation,
,,m,Delta t,,,,,intervalul de timp,time interval,https://en.wikipedia.org/wiki/Time
,,m,vec M,,,,,momentul forţei în raport cu un pol,force moment respect to a pole,https://en.wikipedia.org/wiki/Force
,,m,vec M_i,sum_{i=1}^{n} vec M_i,\sum_{i=1}^{n} \vec M_i,,,Teorema Varignon (momentul forţelor concurente care acţionează asupra unui punct material) ,Varignon Theorem  (competing forces moment acting on a material point),https://en.wikipedia.org/wiki/Varignon%27s_theorem
,,m,vec M_i,vec r xx sum_{i=1}^{n} vec F_i,\vec r xx \sum_{i=1}^{n} \vec F_i,,,Teorema Varignon (momentul forţelor concurente care acţionează asupra unui punct material) ,Varignon Theorem  (competing forces moment acting on a material point),https://en.wikipedia.org/wiki/Varignon%27s_theorem
,,m,vec M_i,vec r xx vec F,\vec r xx \vec F,,,Teorema Varignon (momentul forţelor concurente care acţionează asupra unui punct material) ,Varignon Theorem  (competing forces moment acting on a material point),https://en.wikipedia.org/wiki/Varignon%27s_theorem
,,m,vec M_i,,,,,momentul unei forţe F1 în raport cu un pol,the moment of a force respect to a pole,https://en.wikipedia.org/wiki/Force
,,m,vec r,,,,,vectorul de poziţie,position vector,https://en.wikipedia.org/wiki/Vector
,,m,vec F_i,,,,,forţe concurente,competing forces,https://en.wikipedia.org/wiki/Inverse_dynamics
,,m,vec F,,,,,forţa rezultantă,resulting force,https://en.wikipedia.org/wiki/Force
,,m,vec M,,,,,momentul rezultantei în raport cu acelaşi pol,resulting moment respect to the same pole,
,,m,t_u,t_c,t_c,s,,Timp ,time,https://en.wikipedia.org/wiki/Time
,,m,t_u,sqrt(2 * h / g),\sqrt(2 * h / g),s,,Timp ,time,https://en.wikipedia.org/wiki/Time
,,m,t_u,v_0 / g,v_0 / g,s,,Timp ,time,https://en.wikipedia.org/wiki/Time
,,m,,,,,,aruncarea unui corp pe verticală de jos în sus în câmp gravitaţional,throwing of a body vertically from bottom to top in the gravitational field,
,,m,t_c,,,,,timp de coborâre,descending time,https://en.wikipedia.org/wiki/Time
,,m,t_u,,,,,timp de urcare,accesion time,https://en.wikipedia.org/wiki/Time
,,m,h,,,,,înălţimea maximă pâna la care urcă corpul ,the maximum height where the body can ascend,https://en.wikipedia.org/wiki/Height
,,m,v_0,,,,,viteza iniţială,initial velocity,https://en.wikipedia.org/wiki/Velocity
,,m,g,,,,,acceleraţia gravitaţională,gravitational acceleration,https://en.wikipedia.org/wiki/Gravity
,,m,t_u,v_0 / g * sin(alpha),v_0 / g * \sin(\alpha),s,,aruncarea unui corp sub un unghi faţă de orizontală în câmp gravitaţional,throwing an object at an angle to the horizontal in the gravitational field,https://en.wikipedia.org/wiki/Gravity
,,m,,,,,,aruncarea unui corp sub un unghi faţă de orizontală în câmp gravitaţional,throwing an object at an angle to the horizontal in the gravitational field,https://en.wikipedia.org/wiki/Gravity
,,m,"t_u, t_c",,,,,timpul de urcare (coborâre) până la (de la) înălţimea maximă ,ascending time (descending) to (from) the maximum height,https://en.wikipedia.org/wiki/Time
,,m,v_0,,,,,viteza iniţială,initial velocity,https://en.wikipedia.org/wiki/Velocity
,,m,alpha,,,,,unghiul format de vector zero cu orizontala,the angle formed by zero vector with the horizontal ,https://en.wikipedia.org/wiki/Angle
,,m,g,,,,,acceleraţia gravitaţională,gravitational acceleration,https://en.wikipedia.org/wiki/Gravity
,,n,T_{1/2},ln(2) / lambda,\ln(2) / \lambda,s,,timpul de injumătăţire,the half time,https://en.wikipedia.org/wiki/Time
,,n,T_{1/2},,,,,timpul de injumătăţire,the half time,https://en.wikipedia.org/wiki/Time
,,n,lambda,,,,,constanta radioactivă,radioactive constant,https://en.wikipedia.org/wiki/Radioactive_decay
,,"a,n",tau,1 / P,1 / P,s,,Timp mediu de viaţă a sistemelor cuantice în stare excitată,The average life time in the excited state of the quantum systems,
,,"a,n",P,,,,,probabilitatea de tranziţie,transition probability,https://en.wikipedia.org/wiki/Markov_chain
,,m,,,,,,Transformările Galilei,Galilei transformation,https://en.wikipedia.org/wiki/Galilean_transformation
,,m,"r, t",,,,,"coordonatele unui eveniment măsurate de observatorul din sistemul de referinţă inerţial S'(O'x'y'z',t')",coordinates of an event measured by the observer of the inertial reference system S '(O'x'y'z' t '),https://en.wikipedia.org/wiki/Inertial_frame_of_reference
,,m,u,,,,,viteza constantă a sistemului S' faţă de S pe direcţia axei Ox,constant velocity of system S 'to S axis direction Ox,https://en.wikipedia.org/wiki/Velocity
,,m,x,(x_2 + v* t_2) / sqrt(1 - v^2/c^2),(x_2 + v* t_2) / \sqrt(1 - v^2/c^2),m,,Transformările lui Lorentz,Lorentz transformation,https://en.wikipedia.org/wiki/Lorentz_transformation
,,m,t,(t_2 + v/ c^2 * t) / sqrt(1 - v^2/c^2),(t_2 + v/ c^2 * t) / \sqrt(1 - v^2/c^2),m,,Transformările lui Lorentz,Lorentz transformation,https://en.wikipedia.org/wiki/Lorentz_transformation
,,m,"x,y,z,t",,,,,"coordonatele unui eveniment măsurate de observatorul din sistemul de referinţă inerţial S(Oxyz,t)","coordinates of an event measured by the observer of the inertial reference system S(Oxyz,t)",https://en.wikipedia.org/wiki/Inertial_frame_of_reference
,,m,"x',y',z',t'",,,,,"coordonatele unui eveniment măsurate de observatorul din sistemul de referinţă inerţial S'(O'x'y'z',t')",coordinates of an event measured by the observer of the inertial reference system S '(O'x'y'z' t '),https://en.wikipedia.org/wiki/Inertial_frame_of_reference
,,m,v,,,,,viteza constantă a lui S' faţă de S,the constant velocity of S 'to S,https://en.wikipedia.org/wiki/Velocity
,,m,c,,,,,viteza luminii în vid,the velocity of light in vacuum,https://en.wikipedia.org/wiki/Speed_of_light
,,o,delta,i + i_2 - (r + r_2),i + i_2 - (r + r_2),m,,Unghi de deviaţie (prisma optică),deviation angle (optical prism),https://en.wikipedia.org/wiki/Prism
,,o,delta,i + i_2 - A,i + i_2 - A,s,,Unghi de deviaţie (prisma optică),deviation angle (optical prism),https://en.wikipedia.org/wiki/Prism
,,o,delta,,,,,unghi de deviaţie între direcţia razei incidente si direcţia razei emergente,deviation angle between the direction of the incident radius and the direction of the emerging radius,
,,o,i,,,,,unghi de incidenţă,angle of incidence,https://en.wikipedia.org/wiki/Angle_of_incidence_(optics)
,,o,i',,,,,unghi de emergenţă,angle of emergence,
,,o,r ,,,,,unghi de refracţie corespunzător i,corresponding angle of refraction i,https://en.wikipedia.org/wiki/Snell%27s_law
,,o,r',,,,,unghi de refracţie corespunzător i',corresponding angle of refraction i',https://en.wikipedia.org/wiki/Snell%27s_law
,,o,A,&lt; = 2*l,&lt; = 2*l,,,unghiul prismei,angle prism,https://en.wikipedia.org/wiki/Prism
,,o,l,,,,,unghiul limită al prismei optice,limit angle of the optical prism,https://en.wikipedia.org/wiki/Prism
,,o,delta_m,2*i - A,2*i - A,,,unghi de deviaţie minimă,minimum deviation angle,https://en.wikipedia.org/wiki/Minimum_deviation
,,o,i,,,,,unghi de incidenţă,angle of incidence,https://en.wikipedia.org/wiki/Angle_of_incidence_(optics)
,,o,A,,,,,unghiul prismei,angle prism,https://en.wikipedia.org/wiki/Prism
,,"m,o",varphi,omega*t + varphi_0,\omega*t + \varphi_0,rad,,Unghi de fază (fază),the phase angle (phase),https://en.wikipedia.org/wiki/Phase_angle
,,"m,o",varphi,,,,,argumentul dependent de timp al unei mărimi cu variaţie sinusoidală,time-dependent argument of a sizes with sinusoidal variation,https://en.wikipedia.org/wiki/Quasi-periodic_oscillation
,,"m,o",omega,,,,,pulsaţie,pulsation,
,,"m,o",t,,,,,momentul de timp,time moment,https://en.wikipedia.org/wiki/Moment_(time)
,,"m,o",varphi_0,,,,,fază iniţiala,the initial phase,
,,m,tan(alpha),F_c / G,F_c / G,,,Unghi de supraînălţare (înclinare) la curbe,super height angle (inclination) at curves,
,,m,tan(alpha),v^2 / (R * g),v^2 / (R * g),,,Unghi de supraînălţare (înclinare) la curbe,super height angle (inclination) at curves,
,,m,F_c,,,,,forţa centrifugă,centrifugal force,https://en.wikipedia.org/wiki/Centrifugal_force
,,m,G,,,,,greutatea,weight,https://en.wikipedia.org/wiki/Weight
,,m,v,,,,,"viteza liniară (periferică, tangenţiala) în mişcarea circulară uniformă","linear velocity (peripheral, tangential) in the uniform circular movement",https://en.wikipedia.org/wiki/Constant_linear_velocity
,,m,R,,,,,raza de curbură a drumului,the radius of curvature of the road,https://en.wikipedia.org/wiki/Radius
,,m,g,,,,,acceleraţia gravitaţională,acceleration of gravity,https://en.wikipedia.org/wiki/Gravity
,,o,sin(l),n_2/n_1,n_2/n_1,,,Unghi limită,angle limit,https://en.wikipedia.org/wiki/Angle
,,o,"n_1, n_2",,,,,indici de refracţie a două medii optice separate printr-o suprafaţă. Lumina trece din mediul mai dens optic (n1) în mediul mai puţin dens (n2),refractive indices of two optical media separated by an area. Light passes from optically denser medium (n1) in the less dense (n2),https://en.wikipedia.org/wiki/Refractive_index
,,c ,Delta lambda,2* Lambda *(sin(theta/2))^2,2* \Lambda *(\sin(\theta/2))^2,,,Variaţia lungimii de undă a unui foton în efectul Compton,wavelength variation of a photon in Compton effect,https://en.wikipedia.org/wiki/Wavelength
,,c ,Lambda,,,,,lungime de undă Compton,Compton wavelength,https://en.wikipedia.org/wiki/Compton_wavelength
,,c ,theta,,,,,unghi de împrăştiere între impulsurile fotonului înainte şi după interacţiunea cu electronul (împrăştiere),scattering angle between the photon pulses before and after interaction with electrons (scattering),https://en.wikipedia.org/wiki/Scattering_amplitude
,,"m,t,e,o,a,n,r",,,,,,Viteza,velocity,https://en.wikipedia.org/wiki/Velocity
,,"m,t,e,o,a,n,r",,,,,,viteza unui punct material,the velocity of a material point,https://en.wikipedia.org/wiki/Velocity
,,"m,t,e,o,a,n,r",vec v_m,(Delta vec r) / (Delta t),(\Delta \vec r) / \Delta t,m * s^{-1},,viteza medie,average velocity,https://en.wikipedia.org/wiki/Velocity#Average_velocity
,,"m,t,e,o,a,n,r",vec v,lim_{Delta t -&gt; 0} (Delta vec r)/ (Delta t),\lim_{\Delta t -&gt; 0} (\Delta \vec r)/ (\Delta t),m * s^{-1},,viteza momentană,momentary velocity,https://en.wikipedia.org/wiki/Velocity
,,"m,t,e,o,a,n,r",vec v_{CM},(vec p) / m,\vec p / m,m * s^{-1},,viteza centrului de masă al unui sistem,velocity of the mass center of a system,https://en.wikipedia.org/wiki/Velocity
,,"m,t,e,o,a,n,r",P,,,,,impulsul sistemului,system's impulse,https://en.wikipedia.org/wiki/Impulse_(physics)
,,"m,t,e,o,a,n,r",m,,,,,masa sistemului,system's mass,https://en.wikipedia.org/wiki/Mass
,,"m,t,e,o,a,n,r",v,lambda/T,\lambda/T,m * s^{-1},,viteza de propagare a undelor,velocity of propagation of the waves,https://en.wikipedia.org/wiki/Velocity_factor
,,"m,t,e,o,a,n,r",v,lambda * nu,\lambda * \nu,m * s^{-1},,viteza de propagare a undelor,velocity of propagation of the waves,https://en.wikipedia.org/wiki/Velocity_factor
,,"m,t,e,o,a,n,r",lambda,,,,,lungimea de undă,wavelength  ,https://en.wikipedia.org/wiki/Wavelength
,,"m,t,e,o,a,n,r",T,,,,,perioada,period,
,,"m,t,e,o,a,n,r",nu,,,,,frecvenţa,frequency,https://en.wikipedia.org/wiki/Frequency
,,"m,t,e,o,a,n,r",v_l,sqrt(E/rho),\sqrt(E/\rho),m * s^{-1},,viteza de propagare a undelor longitudinale,longitudinal wave propagation velocity,https://en.wikipedia.org/wiki/Wave_propagation
,,"m,t,e,o,a,n,r",E,,,,,modulul de elasticitate,elastic modulus,https://en.wikipedia.org/wiki/Elastic_modulus
,,"m,t,e,o,a,n,r",rho,,,,,densitatea substanţei din care este alcătuit mediul elastic,the density of the substance from which is made the elastic medium,https://en.wikipedia.org/wiki/Elastic_modulus
,,"m,t,e,o,a,n,r",v_t,sqrt(T/mu),\sqrt(T/\mu),m * s^{-1},,viteza de propagare a undelor transversale,transverse wave propagation velocity,https://en.wikipedia.org/wiki/Transverse_wave
,,"m,t,e,o,a,n,r",T,,,,,tensiunea la care este supusă coarda ,tension that confronts rope,https://en.wikipedia.org/wiki/Tension_(physics)
,,"m,t,e,o,a,n,r",mhu,,,,,masa unitaţii de lungime a corzii,mass of the unit of the length of the rope,
,,"m,t,e,o,a,n,r",v,c,c,m * s^{-1},,viteza unui foton,the velocity of a photon,https://en.wikipedia.org/wiki/Velocity
,,"m,t,e,o,a,n,r",c,,,,,viteza luminii în vid faţă de orice referenţial inerţial,velocity of light in vacuum to any referential inertial,https://en.wikipedia.org/wiki/Mass
,lightVelocity,"m,t,e,o,a,n,r",c,1 / sqrt(epsilon_0 * mu_0),1 / \sqrt(\epsilon_0 * \mu_0),m * s^{-1},,viteza luminii în vid  ,the velocity of light in vacuum,https://en.wikipedia.org/wiki/Vacuum
,lightVelocity,"m,t,e,o,a,n,r",c,3*10^8,3*10^8,m * s^{-1},,viteza luminii în vid,the velocity of light in vacuum,https://en.wikipedia.org/wiki/Vacuum
,,"m,t,e,o,a,n,r",epsilon_0,,,,,permitivitatea electrică,electrical permittivity,https://en.wikipedia.org/wiki/Permittivity
,,"m,t,e,o,a,n,r",mu_o,,,,,permeabilitatea magnetică a vidului,magnetic permeability of vacuum,https://en.wikipedia.org/wiki/Vacuum_permeability
,,"m,t,e,o,a,n,r",v,1 / sqrt(epsilon_r * mu_r),1 / \sqrt(\epsilon_r * \mu_r),m * s^{-1},,viteza luminii într-un mediu,the velocity of light in a medium,https://en.wikipedia.org/wiki/Speed_of_light
,,"m,t,e,o,a,n,r",v,c / n,c / n,m * s^{-1},,viteza luminii într-un mediu,the velocity of light in a medium,https://en.wikipedia.org/wiki/Speed_of_light
,,"m,t,e,o,a,n,r",epsilon_r,,,,,permitivitatea electrică relativă,relative electric permittivity,https://en.wikipedia.org/wiki/Permittivity
,,"m,t,e,o,a,n,r",mu_r,,,,,permitivitatea magnetică relativă,magnetic permittivity relative,https://en.wikipedia.org/wiki/Permittivity
,,"m,t,e,o,a,n,r",n ,,,,,indicele de refracţie al mediului optic transparent,the refractive index of the transparent optical medium,https://en.wikipedia.org/wiki/Refractive_index
,,"m,t,e,o,a,n,r",v,sqrt((2 * q * U)/m),\sqrt((2 * q * U)/m),m * s^{-1},,viteza unei particule electrizate accelerate în câmp electric,the velocity of an electrified particle accelerated in an electric field,https://en.wikipedia.org/wiki/Velocity
,,"m,t,e,o,a,n,r",q,,,,,sarcina electrică a particulei,electric charge particle,https://en.wikipedia.org/wiki/Electric_charge
,,"m,t,e,o,a,n,r",U,,,,,tensiunea electrică de accelerare ,electric tension of acceleration,https://en.wikipedia.org/wiki/Acceleration
,,"m,t,e,o,a,n,r",m,,,,,masa particulei,particle mass,https://en.wikipedia.org/wiki/Mass
,,"m,t,e,o,a,n,r",v,E / B,E / B,m * s^{-1},,viteza unei particule electrizate la trecerea printr-un filtru de viteză (spectograf de masă),electrified particles velocity from passing through a filter of velocity (mass spectrographs),https://en.wikipedia.org/wiki/Velocity
,,"m,t,e,o,a,n,r",E,,,,,intensitatea câmpului magnetic uniform,uniform magnetic field,https://en.wikipedia.org/wiki/Magnetic_field
,,"m,t,e,o,a,n,r",B,,,,,inducţia câmpului magnetic uniform,uniform magnetic field induction,https://en.wikipedia.org/wiki/Magnetic_field
,,"m,t,e,o,a,n,r",v_T,sqrt(bar(v_{tr}^2),\sqrt(\bar(v_{tr}^2),m * s^{-1},,viteza termică a moleculelor,thermal velocity of the molecules,https://en.wikipedia.org/wiki/Thermal_velocity
,,"m,t,e,o,a,n,r",v_T,sqrt((2 * bar epsilon_{tr})/m),\sqrt((2 * \bar \epsilon_{tr})/m),m * s^{-1},,viteza termică a moleculelor,thermal velocity of the molecules,https://en.wikipedia.org/wiki/Thermal_velocity
,,"m,t,e,o,a,n,r",v_T,sqrt((3 * k * T) / m),\sqrt((3 * k * T) / m),m * s^{-1},,viteza termică a moleculelor,thermal velocity of the molecules,https://en.wikipedia.org/wiki/Thermal_velocity
,,"m,t,e,o,a,n,r",v_T,sqrt((3 * R * T)/ mu),\sqrt((3 * R * T)/ \mu),m * s^{-1},,viteza termică a moleculelor,thermal velocity of the molecules,https://en.wikipedia.org/wiki/Thermal_velocity
,,"m,t,e,o,a,n,r",v_{tr}^2,,,,,viteza pătratică medie de translaţie,kinetic medium velocity of translation,https://en.wikipedia.org/wiki/Velocity
,,"m,t,e,o,a,n,r",epsilon_{tr},,,,,energia cinetică medie de translaţie a moleculelor,medium kinetic energy of translation of the molecules,https://en.wikipedia.org/wiki/Kinetic_energy
,,"m,t,e,o,a,n,r",m,,,,,masa unei molecule,the mass of a molecule,https://en.wikipedia.org/wiki/Mass
,,"m,t,e,o,a,n,r",k,,,,,constanta lui Boltzmann,Boltzmann constant,https://en.wikipedia.org/wiki/Boltzmann_constant
,,"m,t,e,o,a,n,r",t,,,,,temperatura absolută (termodinamică) a gazului,the absolute temperature (thermodynamic) of the gas,https://en.wikipedia.org/wiki/Absolute_temperature_scale
,,"m,t,e,o,a,n,r",mu,,,,,masa moleculară a gazului,the molecular weight of the gas,
