id,en_symbol,part_of,math_symbol,math_formula,tex_formula,unit,vars,ro_description,en_description,wiki,auto_translation,poswiki
,,m,"x_1, y_1, z_1",,,,,coordonatele particulei 1,coordinate of the particle 1,https://en.wikipedia.org/wiki/Coordinate_system,coordinates of one particle,https://en.wikipedia.org/wiki/coordinate_of_the_particle_1
,,m,"x_2, y_2, z_2",,,,,coordonatele particulei 2,coordinate of the particle 2,https://en.wikipedia.org/wiki/Coordinate_system,coordinates particle 2,https://en.wikipedia.org/wiki/coordinate_of_the_particle_2
,,m,"G_1 , G_2",,,,,greutăţile particulelor,weights of the particles,https://en.wikipedia.org/wiki/Weight,weights particles,https://en.wikipedia.org/wiki/weights_of_the_particles
,,m,Q_V,{Delta m} / {Delta t},{\Delta m} / {\Delta t},kg * s^{-1},,Debit de masă,mass flow,https://en.wikipedia.org/wiki/Mass_flow,Mass flow,https://en.wikipedia.org/wiki/mass_flow
,,m,Delta m,,,,,masa de fluid care străbate o arie ,the mass of the fluid crossing thru an area,https://en.wikipedia.org/wiki/Mass,mass of fluid traveling through a wide,https://en.wikipedia.org/wiki/the_mass_of_the_fluid_crossing_thru_an_area
,,m,Delta t,,,,,intervalul de timp,time interval,https://en.wikipedia.org/wiki/Time,the time,https://en.wikipedia.org/wiki/time_interval
,,m,Q_V,{Delta V} / {Delta t},{\Delta V} / {\Delta t},m^3 * s^{-1},,Debit de volum ,volume flow,https://en.wikipedia.org/wiki/Volumetric_flow_rate,Volume Flow,https://en.wikipedia.org/wiki/volume_flow
,,m,Delta V,,,,,volumul de fluid care străbate o arie,the volume of the fluid crossing thru an area,https://en.wikipedia.org/wiki/Volumetric_flow_rate,the volume of fluid that passes through an area,https://en.wikipedia.org/wiki/the_volume_of_the_fluid_crossing_thru_an_area
,,m,Delta t,,,,,intervalul de timp,time interval,https://en.wikipedia.org/wiki/Time,the time,https://en.wikipedia.org/wiki/time_interval
,,"o,m,r",Delta varphi,varphi_2 - varphi_1,\varphi_2 - \varphi_1,rad,,Defazaj (diferenţa de fază),phase shift (phase difference),https://en.wikipedia.org/wiki/Phase_(waves)#Phase_shift,Phase shift (phase difference),https://en.wikipedia.org/wiki/phase_shift_(phase_difference)
,,"o,m,r",Delta varphi,2 * k * pi,2 * k * \pi,rad,,oscilaţie în concordanţă de fază (în fază),oscillating in phase (in phase),https://en.wikipedia.org/wiki/Phase_(waves)#Phase_shift,oscillating in phase (in phase),https://en.wikipedia.org/wiki/oscillating_in_phase_(in_phase)
,,"o,m,r",Delta varphi,(2 * k + 1) * pi,(2 * k + 1) * \pi,rad,,oscilaţie în opoziţie de fază,oscillating in phase opposition,https://en.wikipedia.org/wiki/Oscillation,oscillating in phase opposition,https://en.wikipedia.org/wiki/oscillating_in_phase_opposition
,,"o,m,r",Delta varphi,(2 * k + 1) * pi/2,(2 * k + 1) * \pi/2,rad,,oscilaţie în cuadratură,oscillation in quadrature,https://en.wikipedia.org/wiki/Oscillation,quadrature oscillation,https://en.wikipedia.org/wiki/oscillation_in_quadrature
,,"o,m,r",Delta varphi,( 2 * pi)/lambda *delta,( 2 * \pi)/\lambda * \delta,rad,,Defazaj (diferenţa de fază),phase shift (phase difference),https://en.wikipedia.org/wiki/Phase_(waves)#Phase_shift,Phase shift (phase difference),https://en.wikipedia.org/wiki/phase_shift_(phase_difference)
,,"o,m,r",Delta varphi,omega * Delta t,\omega * \Delta t,rad,,Defazaj (diferenţa de fază),phase shift (phase difference),https://en.wikipedia.org/wiki/Phase_(waves)#Phase_shift,Phase shift (phase difference),https://en.wikipedia.org/wiki/phase_shift_(phase_difference)
,,"o,m,r","varphi_2,varphi_1",,,rad,,fazele (unghiurile de fază) a două oscilaţii,phases (phase angles) of the two oscillations,https://en.wikipedia.org/wiki/Phase_(waves)#Phase_shift,phases (phase angles) of the two oscillations,https://en.wikipedia.org/wiki/phases_(phase_angles)_of_the_two_oscillations
,,"o,m,r",omega,,,,,pulsaţia,pulsation,https://en.wikipedia.org/wiki/Pulse_(disambiguation),pulsation,https://en.wikipedia.org/wiki/pulsation
,,"o,m,r",Delta t,,,,,diferenţa de timp dintre două oscilaţii,time difference between two oscillations,https://en.wikipedia.org/wiki/Oscillation,time difference between two oscillations,https://en.wikipedia.org/wiki/time_difference_between_two_oscillations
,,"o,m,r",lambda,,,,,lungimea de undă ,wavelength,https://en.wikipedia.org/wiki/Wavelength,wavelength,https://en.wikipedia.org/wiki/wavelength
,,"o,m,r",delta,,,,,diferenţa de drum dintre două oscilaţii,the path difference between two oscillations,https://en.wikipedia.org/wiki/Oscillation,the path difference between two oscillations,https://en.wikipedia.org/wiki/the_path_difference_between_two_oscillations
,,"m,t",rho,m/V,m/V,kg * m^{-3},,Densitatea (unui corp omogen),density (of a homogeneous body),https://en.wikipedia.org/wiki/Density,Density (a homogeneous body),https://en.wikipedia.org/wiki/density_(of_a_homogeneous_body)
,,"m,t",rho,rho_0 / (1 + gamma * Delta T),\rho_0 / (1 + \gamma * \Delta T),kg * m^{-3},,Densitatea (unui corp omogen),density (of a homogeneous body),https://en.wikipedia.org/wiki/Density,Density (a homogeneous body),https://en.wikipedia.org/wiki/density_(of_a_homogeneous_body)
,,"m,t",rho,rho_0 / (1 + gamma * t),\rho_0 / (1 + \gamma * t),kg * m^{-3},,Densitatea (unui corp omogen),density (of a homogeneous body),https://en.wikipedia.org/wiki/Density,Density (a homogeneous body),https://en.wikipedia.org/wiki/density_(of_a_homogeneous_body)
,,"m,t",rho,(p * mu) / (R * T),(p * \mu) / (R * T),kg * m^{-3},,Densitatea (unui corp omogen),density (of a homogeneous body),https://en.wikipedia.org/wiki/Density,Density (a homogeneous body),https://en.wikipedia.org/wiki/density_(of_a_homogeneous_body)
,,"m,t",rho,rho_0 * p/p_0 * T_0/T,\rho_0 * p/p_0 * T_0/T,kg * m^{-3},,Densitatea (unui corp omogen),density (of a homogeneous body),https://en.wikipedia.org/wiki/Density,Density (a homogeneous body),https://en.wikipedia.org/wiki/density_(of_a_homogeneous_body)
,,"m,t",rho,mu / ((4 * pi)/3 * r_a^3 * N_A),\mu / ((4 * \pi)/3 * r_a^3 * N_A),kg * m^{-3},,Densitatea (unui corp omogen),density (of a homogeneous body),https://en.wikipedia.org/wiki/Density,Density (a homogeneous body),https://en.wikipedia.org/wiki/density_(of_a_homogeneous_body)
,,"m,t",m,,,kg,,masa corpului,mass,https://en.wikipedia.org/wiki/Mass,body mass,https://en.wikipedia.org/wiki/mass
,,"m,t",V,,,m^3,,volumul corpului,body volume,https://en.wikipedia.org/wiki/Volume,body volume,https://en.wikipedia.org/wiki/body_volume
,,"m,t",rho_0,,,kg * m^{-3},,"densitatea corpului la 0°C (273,15 K)",body density at 0 ° C (273.15 K),https://en.wikipedia.org/wiki/Density,body density at 0 ° C (273.15 K),https://en.wikipedia.org/wiki/body_density_at_0_°_C_(273.15_K)
,,"m,t",gamma,,,,,coeficient de dilatare termică in volum,coefficient of thermal expansion in volume,https://en.wikipedia.org/wiki/Thermal_expansion,coefficient of thermal expansion in the volume,https://en.wikipedia.org/wiki/coefficient_of_thermal_expansion_in_volume
,,"m,t",Delta T,,,K,,variaţia temperaturii termodinamice (absolute),variation of the thermodynamic temperature (absolute),https://en.wikipedia.org/wiki/Thermodynamic_temperature,temperature variation thermodynamic (absolute),https://en.wikipedia.org/wiki/variation_of_the_thermodynamic_temperature_(absolute)
,,"m,t",t,,,,,temperatura exprimată în °C,temperature expressed in ° C,https://en.wikipedia.org/wiki/Temperature,Temperature expressed in ° C,https://en.wikipedia.org/wiki/temperature_expressed_in_°_C
,,"m,t",p,,,Pa,,presiunea gazului ideal,ideal gas pressure,https://en.wikipedia.org/wiki/Ideal_gas,ideal gas pressure,https://en.wikipedia.org/wiki/ideal_gas_pressure
,,"m,t",mu,,,kg,,masa unui mol de gaz ideal,the mass of a mole of ideal gas,https://en.wikipedia.org/wiki/Ideal_gas,the mass of a mole of ideal gas,https://en.wikipedia.org/wiki/the_mass_of_a_mole_of_ideal_gas
,,"m,t",R,,,,,constanta universală a gazelor perfecte,the constant of the universal perfect gas ,https://en.wikipedia.org/wiki/Ideal_gas,universal gas constant perfect,https://en.wikipedia.org/wiki/the_constant_of_the_universal_perfect_gas_
,,"m,t",T,,,,,temperatura termodinamică a gazului (absolută),thermodynamic temperature of the gas (absolute),https://en.wikipedia.org/wiki/Thermodynamic_temperature,thermodynamic temperature of the gas (absolute),https://en.wikipedia.org/wiki/thermodynamic_temperature_of_the_gas_(absolute)
,,"m,t",T_0,,,,,temperatura normală,normal temperature,https://en.wikipedia.org/wiki/Temperature,normal temperature,https://en.wikipedia.org/wiki/normal_temperature
,,"m,t",p_0,,,Pa,,presiunea normală,normal pressure,https://en.wikipedia.org/wiki/Pressure,normal pressure,https://en.wikipedia.org/wiki/normal_pressure
,,"m,t",rho,,,,,densitatea unui corp solid,the density of a solid body,https://en.wikipedia.org/wiki/Density,the density of a solid body,https://en.wikipedia.org/wiki/the_density_of_a_solid_body
,,"m,t",mu,,,kg,,masa unui mol,the mass of a mole,https://en.wikipedia.org/wiki/Mass,the mass of a mole,https://en.wikipedia.org/wiki/the_mass_of_a_mole
,,"m,t",r_a,,,m,,raza atomului,atomic radius,https://en.wikipedia.org/wiki/Atomic_radius,atomic radius,https://en.wikipedia.org/wiki/atomic_radius
,,"m,t",N_A,,,,,numărul lui Avogadro,Avogadro's number,https://en.wikipedia.org/wiki/Avogadro_constant,Avogadro's number,https://en.wikipedia.org/wiki/Avogadro's_number
,,m,j,I / S,I / S,A * m^{-2},,Densitatea de curent electric,electric current density,https://en.wikipedia.org/wiki/Current_density,Power density,https://en.wikipedia.org/wiki/electric_current_density
,,m,vec j,sigma * vec E,\sigma * \vec E,A * m^{-2},,Densitatea de curent electric,electric current density,https://en.wikipedia.org/wiki/Current_density,Power density,https://en.wikipedia.org/wiki/electric_current_density
,,m,vec j,q * n * vec v,q * n * \vec v,A * m^{-2},,Densitatea de curent electric,electric current density,https://en.wikipedia.org/wiki/Current_density,Power density,https://en.wikipedia.org/wiki/electric_current_density
,,m,I,,,,,intensitatea curentului electric,electric current intensity,https://en.wikipedia.org/wiki/Current_density,electrical current,https://en.wikipedia.org/wiki/electric_current_intensity
,,m,S,,,,,aria secţiunii transversale,cross sectional area,https://en.wikipedia.org/wiki/Cross_section_(geometry),cross sectional area,https://en.wikipedia.org/wiki/cross_sectional_area
,,m,sigma,,,,,conductivitatea,conductivity,https://en.wikipedia.org/wiki/Electrical_resistivity_and_conductivity,conductivity,https://en.wikipedia.org/wiki/conductivity
,,m,vec E,,,,,intensitatea câmpului electric,electric field strength,https://en.wikipedia.org/wiki/Electric_field,electric field strength,https://en.wikipedia.org/wiki/electric_field_strength
,,m,q,,,,,sarcina unei particule,a particle load,,a particle load,https://en.wikipedia.org/wiki/a_particle_load
,,m,n,,,,,numărul purtătorilor de sarcină din unitatea de volum,the number of charge carriers per unit volume,,the number of charge carriers per unit volume,https://en.wikipedia.org/wiki/the_number_of_charge_carriers_per_unit_volume
,,m,vec v,,,,,viteza medie a purtătorilor de sarcină,the average velocity of the charge carriers,https://en.wikipedia.org/wiki/Velocity,the average speed of the charge carriers,https://en.wikipedia.org/wiki/the_average_velocity_of_the_charge_carriers
,,"e,o,r",omega,(Delta W) / (Delta V),(\Delta W) / (\Delta V),J * m^{-3},,Densitatea volumică instantanee a energiei undei electromagnetice,instantaneous volume density of the electromagnetic energy,,Instantaneous volume energy density of the electromagnetic wave,https://en.wikipedia.org/wiki/instantaneous_volume_density_of_the_electromagnetic_energy
,,"e,o,r",Delta W,,,,,energia care se află în ΔV,the energy stand in ΔV,https://en.wikipedia.org/wiki/Energy,△ V is the energy that,https://en.wikipedia.org/wiki/the_energy_stand_in_ΔV
,,"e,o,r",Delta V,,,,,elementul de volum (volum mic),volume element (small volume),https://en.wikipedia.org/wiki/Volume,volume element (small),https://en.wikipedia.org/wiki/volume_element_(small_volume)
,,"e,o,r",omega,(epsilon * E^2)/2,(\epsilon * E^2)/2,J * m^{-3},,Densitatea volumică de energie a câmpului electrostatic (condensator plan),instantaneous volume density of the electrostatic field (plan capacitor),,Volumetric power density of electrostatic field (capacitor),https://en.wikipedia.org/wiki/instantaneous_volume_density_of_the_electrostatic_field_(plan_capacitor)
,,"e,o,r",epsilon,,,,,permitivitatea electrică,electrical permittivity,https://en.wikipedia.org/wiki/Permittivity,electrical permittivity,https://en.wikipedia.org/wiki/electrical_permittivity
,,"e,o,r",E,,,,,modulul intensităţii câmpului electric,electric field intensity module,https://en.wikipedia.org/wiki/Electric_field,electric field intensity module,https://en.wikipedia.org/wiki/electric_field_intensity_module
,,"e,o,r",omega,(B^2) / (2 * mu),(B^2) / (2 * \mu),J * m^{-3},,Densitatea volumică de energie a câmpului magnetic,volumetric energy density of magnetic field,https://en.wikipedia.org/wiki/Magnetic_field,Volumetric energy density of magnetic field,https://en.wikipedia.org/wiki/volumetric_energy_density_of_magnetic_field
,,"e,o,r",mu,,,,,permeabilitatea magnetică,the magnetic permeability,https://en.wikipedia.org/wiki/Permeability_(electromagnetism),the magnetic permeability,https://en.wikipedia.org/wiki/the_magnetic_permeability
,,"e,o,r",B,,,,,modulul inducţiei magnetice,magnetic induction module,https://en.wikipedia.org/wiki/Electromagnetic_induction,Magnetic induction module,https://en.wikipedia.org/wiki/magnetic_induction_module
,,"e,o,r",omega,(epsilon * E^2)/2 + (B^2) / (2 * mu),(\epsilon * E^2)/2 + (B^2) / (2 * \mu),J * m^{-3},,Densitatea volumică de energie a câmpului electromagnetic în medii omogene şi izotrope,instantaneous volume density of the electromagnetic field in homogeneous and isotropic environment,,Volumetric energy density of the electromagnetic field in homogeneous and isotropic media,https://en.wikipedia.org/wiki/instantaneous_volume_density_of_the_electromagnetic_field_in_homogeneous_and_isotropic_environment
,,"e,o,r",omega,epsilon * E^2,\epsilon * E^2,J * m^{-3},,Densitatea volumică de energie a câmpului electromagnetic în medii omogene şi izotrope,instantaneous volume density of the electromagnetic field in homogeneous and isotropic environment,,Volumetric energy density of the electromagnetic field in homogeneous and isotropic media,https://en.wikipedia.org/wiki/instantaneous_volume_density_of_the_electromagnetic_field_in_homogeneous_and_isotropic_environment
,,"e,o,r",omega,(B^2) / (mu),(B^2) / (\mu),J * m^{-3},,Densitatea volumică de energie a câmpului electromagnetic în medii omogene şi izotrope,instantaneous volume density of the electromagnetic field in homogeneous and isotropic environment,,Volumetric energy density of the electromagnetic field in homogeneous and isotropic media,https://en.wikipedia.org/wiki/instantaneous_volume_density_of_the_electromagnetic_field_in_homogeneous_and_isotropic_environment
,,"e,o,r",bar omega,(epsilon * E_0^2) / 2,(\epsilon * E_0^2) / 2,J * m^{-3},,Densitatea volumică medie (în timp) a energiei electromagnetice în medii omogene şi izotrope,instantaneous volume density of the electromagnetic field in homogeneous and isotropic environment,,Average volume density (while) electromagnetic energy into homogeneous and isotropic medium,https://en.wikipedia.org/wiki/instantaneous_volume_density_of_the_electromagnetic_field_in_homogeneous_and_isotropic_environment
,,"e,o,r",bar omega,(B_0^2) / (2 * mu),(B_0^2) / (2 * \mu),J * m^{-3},,Densitatea volumică medie (în timp) a energiei electromagnetice în medii omogene şi izotrope,instantaneous volume density of the electromagnetic field in homogeneous and isotropic environment,,Average volume density (while) electromagnetic energy into homogeneous and isotropic medium,https://en.wikipedia.org/wiki/instantaneous_volume_density_of_the_electromagnetic_field_in_homogeneous_and_isotropic_environment
,,"e,o,r",B_0,,,,,amplitudinea intensităţii câmpului magnetic ,the amplitude of the magnetic field strength,https://en.wikipedia.org/wiki/Amplitude,the amplitude of the magnetic field strength,https://en.wikipedia.org/wiki/the_amplitude_of_the_magnetic_field_strength
,,"e,o,r",E_0,,,,,amplitudinea intensitatii câmpului electric,the amplitude of the magnetic field strength,https://en.wikipedia.org/wiki/Amplitude,the amplitude of the electric field intensity,https://en.wikipedia.org/wiki/the_amplitude_of_the_magnetic_field_strength
,,e,y,1/2 * q/m * U/d * 1/v_0^2 * x_l * (x_l + D),1/2 * q/m * U/d * 1/v_0^2 * x_l * (x_l + D),m,,Deviaţia particulelor încărcate în câmp electric,the deviation of the charged particles in an electric field,,The deviation of the charged particles in an electric field,https://en.wikipedia.org/wiki/the_deviation_of_the_charged_particles_in_an_electric_field
,,e,q,,,,,sarcina electrică,the electric charge,https://en.wikipedia.org/wiki/Electric_charge,the electric charge,https://en.wikipedia.org/wiki/the_electric_charge
,,e,m,,,,,masa particulei,particle mass,https://en.wikipedia.org/wiki/Mass,particle mass,https://en.wikipedia.org/wiki/particle_mass
,,e,U,,,,,tensiunea electrică,electric tension,https://en.wikipedia.org/wiki/Voltage,voltage,https://en.wikipedia.org/wiki/electric_tension
,,e,d,,,,,distanţa între armăturile condensatorului plan,the distance between the plan capacitor plates ,,the distance between the capacitor plates plan,https://en.wikipedia.org/wiki/the_distance_between_the_plan_capacitor_plates_
,,e,v,,,,,viteza particulei la intrarea în câmp electric,the velocity of the particle at the enter of the electric field,,the entry velocity of the particle in an electric field,https://en.wikipedia.org/wiki/the_velocity_of_the_particle_at_the_enter_of_the_electric_field
,,e,x_l,,,,,lungimea condensatorului plan,the length of the plan capacitor,https://en.wikipedia.org/wiki/Capacitor,length condenser plan,https://en.wikipedia.org/wiki/the_length_of_the_plan_capacitor
,,e,D,,,,,distanţa dintre condensator şi ecran,the distance between the condenser and the screen,https://en.wikipedia.org/wiki/Condenser_(optics),the distance between the condenser and screen,https://en.wikipedia.org/wiki/the_distance_between_the_condenser_and_the_screen
,,m,Delta t,(Delta t_s) / sqrt(1 - v_2/c^2),(\Delta t_s) / \sqrt(1 - v_2/c^2),s,,intervalul de timp în sistemul SI din dilatarea duratei conform teoriei relativităţii restrânse,time interval in SI system from the time interval dilatation according to the theorem of limited relativity,,long the system expansion and duration according to the theory of relativity,https://en.wikipedia.org/wiki/time_interval_in_SI_system_from_the_time_interval_dilatation_according_to_the_theorem_of_limited_relativity
,,m,Delta t_s,,,,,intervalul de timp în S 'I' care se deplasează faţă de SI cu viteza v,the time interval in S 'I' moving with velocity v against SI,,the time interval in S 'I' moving with velocity v against SI,https://en.wikipedia.org/wiki/the_time_interval_in_S_'I'_moving_with_velocity_v_against_SI
,,"o,m,r",delta,r_2 - r_1,r_2 - r_1,m,,Diferenţa de drum geometric,the difference of geometric path,,The difference in road geometric,https://en.wikipedia.org/wiki/the_difference_of_geometric_path
,,"o,m,r"," r_1 , r_2",,,,,distanţele de la sursele coerente S1 respectiv S2 la punctul în care are loc interferenţa a două unde,the distances from the coherent sources S1 respectively S2 to the point where two waves interference succeed ,,consistent distances from the sources S1 respectively S2 at the point in which the interference of two waves,https://en.wikipedia.org/wiki/the_distances_from_the_coherent_sources_S1_respectively_S2_to_the_point_where_two_waves_interference_succeed_
,,"o,m,r",delta,n * (r_2 - r_1),n * (r_2 - r_1),m,,Diferenţa de drum optic,optical path difference,https://en.wikipedia.org/wiki/Optical_path_length,Optical path difference,https://en.wikipedia.org/wiki/optical_path_difference
,,"o,m,r",n,,,,,indicele de refracţie al mediului străbătut de lumină,the refractive index of the environment passed by the light,https://en.wikipedia.org/wiki/Refractive_index,the refractive index of the light passed through the environment,https://en.wikipedia.org/wiki/the_refractive_index_of_the_environment_passed_by_the_light
,,"o,m,r",x_2 - x_1,k * lambda,k * \lambda,m,,condiţia ca punctele aflate pe direcţia de propagare a undei să oscileze în fază,the refractive index of the environment passed by the light,https://en.wikipedia.org/wiki/Refractive_index,provided that the points in the direction of wave propagation to oscillate in phase,https://en.wikipedia.org/wiki/the_refractive_index_of_the_environment_passed_by_the_light
,,"o,m,r",lambda,,,,,lungimea de undă,wavelength,https://en.wikipedia.org/wiki/Wavelength,wavelength,https://en.wikipedia.org/wiki/wavelength
,,"o,m,r","x_1 , x_2",,,,,distanţele de la sursă la două puncte aflate pe aceeaşi direcţie,distances from the source to two points located on the same direction,,distances from the source to two points located on the same direction,https://en.wikipedia.org/wiki/distances_from_the_source_to_two_points_located_on_the_same_direction
,,"o,m,r",x_2 - x_1,(2*k + 1) * lambda/2,(2*k + 1) * \lambda/2,m,,condiţia ca punctele aflate pe direcţia de propagare a undei să oscileze în opoziţie de fază,the condition that the points in the direction of wave propagation to oscillate in opposition phase ,https://en.wikipedia.org/wiki/Oscillation,provided that the points in the direction of wave propagation to oscillate in phase opposition,https://en.wikipedia.org/wiki/the_condition_that_the_points_in_the_direction_of_wave_propagation_to_oscillate_in_opposition_phase_
,,"o,m,r",n * (r_2 - r_1),2*k * lambda/2,2*k * \lambda/2,m,,condiţia de maxim de interferenţă folosind dispozitivul Young,the condition of maximum interference using the Young device,https://en.wikipedia.org/wiki/Electromagnetic_interference,provided maximum interference device using Young,https://en.wikipedia.org/wiki/the_condition_of_maximum_interference_using_the_Young_device
,,"o,m,r",n,,,,,indicele de refracţie al mediului,the refractive index of the environment,https://en.wikipedia.org/wiki/Refractive_index,the refractive index of the environment,https://en.wikipedia.org/wiki/the_refractive_index_of_the_environment
,,"o,m,r",r_2 - r_1,,,,,diferenţa de drum geometric de la sursele coerente până in punctul de interferenţă,geometric path difference from coherent sources to the point of interference,https://en.wikipedia.org/wiki/Electromagnetic_interference,geometric path difference from sources consistent to the point of interference,https://en.wikipedia.org/wiki/geometric_path_difference_from_coherent_sources_to_the_point_of_interference
,,"o,m,r",k,,,,,ordin de interferenţă,order of interference,https://en.wikipedia.org/wiki/Electromagnetic_interference,order of interference,https://en.wikipedia.org/wiki/order_of_interference
,,"o,m,r",lambda,,,,,lungimea de undă,wavelength,https://en.wikipedia.org/wiki/Wavelength,wavelength,https://en.wikipedia.org/wiki/wavelength
,,"o,m,r",n * (r_2 - r_1),(2*k + 1) * lambda/2,(2*k + 1) * \lambda/2,m,,condiţia de minim de interferenţă folosind dispozitivul Young,the condition of the minimum of interference using the device Young,https://en.wikipedia.org/wiki/Refractive_index,provided the minimum of interference using the device Young,https://en.wikipedia.org/wiki/the_condition_of_the_minimum_of_interference_using_the_device_Young
,,"o,m,r",n,,,,,indicele de refracţie al mediului,the refractive index of the environment,https://en.wikipedia.org/wiki/Refractive_index,the refractive index of the environment,https://en.wikipedia.org/wiki/the_refractive_index_of_the_environment
,,"o,m,r",r_2 - r_1,,,,,diferenţa de drum geometric de la sursele coerente până în punctul de interferenţa,geometrical path difference of the coherent source to the point of interference,https://en.wikipedia.org/wiki/Refractive_index,geometrical path difference of the coherent source to the point of interference,https://en.wikipedia.org/wiki/geometrical_path_difference_of_the_coherent_source_to_the_point_of_interference
,,"o,m,r",k,,,,,ordin de interferenţă,order of interference,https://en.wikipedia.org/wiki/Refractive_index,order of interference,https://en.wikipedia.org/wiki/order_of_interference
,,"o,m,r",lambda,,,,,lungimea de undă,wavelength,https://en.wikipedia.org/wiki/Wavelength,wavelength,https://en.wikipedia.org/wiki/wavelength
,,"o,m,r",delta,2 * n * d * cos(r) + lambda/2,2 * n * d * \cos(r) + \lambda/2,m,,diferenţa de drum optic dintre razele care interfera la lama cu feţe plan-paralele,optical path difference between the rays that interfere to the blade with the plan-parallel faces,,optical path difference between the rays that interfere with the slide-block faces,https://en.wikipedia.org/wiki/optical_path_difference_between_the_rays_that_interfere_to_the_blade_with_the_plan-parallel_faces
,,"o,m,r",n,,,,,indicele de refracţie al lamei,the refractive index of the blade,https://en.wikipedia.org/wiki/Refractive_index,the refractive index of the blade,https://en.wikipedia.org/wiki/the_refractive_index_of_the_blade
,,"o,m,r",d,,,,,grosimea lamei,blade thickness,,blade thickness,https://en.wikipedia.org/wiki/blade_thickness
,,"o,m,r",r,,,,,unghi de refracţie,angle of refraction,https://en.wikipedia.org/wiki/Refractive_index,angle of refraction,https://en.wikipedia.org/wiki/angle_of_refraction
,,"o,m,r",lambda,,,,,lungimea de undă,wavelength,https://en.wikipedia.org/wiki/Wavelength,wavelength,https://en.wikipedia.org/wiki/wavelength
,,"o,m,r",delta,2 * n * d + lambda/2,2 * n * d + \lambda/2,m,,diferenţa de drum optic dintre razele care interfera la lama cu feţe plan-paralele la incidenţă normală,optical path difference between the rays that interfere to the blade with the plan-parallel faces at normal incidence,,optical path difference between the rays that interfere with the slide-block faces at normal incidence,https://en.wikipedia.org/wiki/optical_path_difference_between_the_rays_that_interfere_to_the_blade_with_the_plan-parallel_faces_at_normal_incidence
,,"o,m,r",/_ i,0,0,rad,,unghi de incidenţă,angle of incidence,https://en.wikipedia.org/wiki/Angle_of_incidence_(optics),angle of incidence,https://en.wikipedia.org/wiki/angle_of_incidence
,,"o,m,r",k * lambda,2 * n * d_k + lambda/2,2 * n * d_k + \lambda/2,,,condiţia de maxim de interferenţă pentru franjele localizate pe pana optică,the condition of maximum interference for the fringes localized on optical wedge,https://en.wikipedia.org/wiki/Interference_(wave_propagation),provided maximum interference fringes localized to optical,https://en.wikipedia.org/wiki/the_condition_of_maximum_interference_for_the_fringes_localized_on_optical_wedge
,,"o,m,r",alpha * i,d_{k + 1} - d_k,d_{k + 1} - d_k,,,condiţia de maxim de interferenţă pentru franjele localizate pe pana optică,the condition of maximum interference for the fringes localized on optical wedge,https://en.wikipedia.org/wiki/Interference_(wave_propagation),provided maximum interference fringes localized to optical,https://en.wikipedia.org/wiki/the_condition_of_maximum_interference_for_the_fringes_localized_on_optical_wedge
,,"o,m,r",alpha * i,,,,,unghiul penei optice,optical wedge angle,https://en.wikipedia.org/wiki/Wedge_prism,optical wedge angle,https://en.wikipedia.org/wiki/optical_wedge_angle
,,"o,m,r",n,,,,,indice de refracţie al penei optice,refractive index of the optical wedge,https://en.wikipedia.org/wiki/Refractive_index,refractive index of the optical wedge,https://en.wikipedia.org/wiki/refractive_index_of_the_optical_wedge
,,"o,m,r",d_k,,,,,o grosime oarecare a penei pentru care există maxim de interferenţă,some thickness of the wedge for which the maximum interference exist,https://en.wikipedia.org/wiki/Wedge_prism,some thick plume for which the maximum interference,https://en.wikipedia.org/wiki/some_thickness_of_the_wedge_for_which_the_maximum_interference_exist
,,"o,m,r",k,,,1,,ordinul de interferenţă,order of interference,https://en.wikipedia.org/wiki/Interference_(wave_propagation),order of interference,https://en.wikipedia.org/wiki/order_of_interference
,,"o,m,r",lambda,,,m,,lungimea de undă,wavelength,https://en.wikipedia.org/wiki/Wavelength,wavelength,https://en.wikipedia.org/wiki/wavelength
,,"o,m,r",i,,,,,interfranja,interfrange,,interfranja,https://en.wikipedia.org/wiki/interfrange
,,"o,m,r",delta,l * (sin(i) pm sin(alpha)),l * (\sin(i) \pm \sin(\alpha)),m,,diferenţa de drum optic între undele difractate sub unghiul alfa pe o reţea de difracţie,optical path difference between diffracted waves under the alpha angle on a diffraction net ,https://en.wikipedia.org/wiki/Diffraction,optical path difference between diffracted waves below the alpha angle on a diffraction grating,https://en.wikipedia.org/wiki/optical_path_difference_between_diffracted_waves_under_the_alpha_angle_on_a_diffraction_net_
,,"o,m,r",delta,2 * k * lambda/2,2 * k * \lambda/2,m,,condiţia de maxim de difracţie,the condition of the maximum diffraction,https://en.wikipedia.org/wiki/Diffraction,provided that the maximum diffraction,https://en.wikipedia.org/wiki/the_condition_of_the_maximum_diffraction
,,"o,m,r",delta,(2 * k + 1) * lambda/2,(2 * k + 1) * \lambda/2,m,,condiţia de minim de difracţie,the condition of the minimum diffraction,https://en.wikipedia.org/wiki/Diffraction,provided that the minimum diffraction,https://en.wikipedia.org/wiki/the_condition_of_the_minimum_diffraction
,,"o,m,r",k,naturalNumber,naturalNumber,1,,număr natural,natural number,https://en.wikipedia.org/wiki/Natural_number,natural number,https://en.wikipedia.org/wiki/natural_number
,,"o,m,r",l,,,,,constanta reţelei optice,optical net constant  ,,constant optical network,https://en.wikipedia.org/wiki/optical_net_constant__
